,Predictions
2020-02-03,1008.4914000000001
2020-02-04,259.1624793650793
2020-02-05,117.23417431457425
2020-02-06,1883.7971142857145
2020-02-07,914.4120857142856
2020-02-08,1037.6292095238098
2020-02-09,176.1273730158731
2020-02-10,84.99800476190477
2020-02-11,1210.4248999999998
2020-02-12,2121.3358380952386
2020-02-13,1131.112223809524
2020-02-14,1685.684864285714
2020-02-15,399.30306190476205
2020-02-16,618.4494857142855
2020-02-17,36.888019047619046
2020-02-18,2070.706683333334
2020-02-19,623.2458000000001
2020-02-20,1583.1342666666671
2020-02-21,246.9361547619046
2020-02-22,1213.1617047619052
2020-02-23,2149.8764095238093
2020-02-24,1954.6713412698414
2020-02-25,1158.4089285714283
2020-02-26,2016.3907285714286
2020-02-27,1837.8472999999997
2020-02-28,781.206033333333
2020-02-29,2006.4095857142859
2020-03-01,1670.2655285714288
2020-03-02,1247.2816666666665
2020-03-03,1403.9184309523812
2020-03-04,191.5710666666667
2020-03-05,402.6051999999999
2020-03-06,373.70490476190474
2020-03-07,1220.292702380952
2020-03-08,2192.0805666666665
2020-03-09,1202.4796666666664
2020-03-10,1082.3595333333333
2020-03-11,667.1871309523808
2020-03-12,1918.4079238095235
2020-03-13,1123.0875476190479
2020-03-14,1825.977990476191
2020-03-15,527.3986190476189
2020-03-16,96.9164857142857
2020-03-17,1050.4011
2020-03-18,275.3439666666667
2020-03-19,1276.3576547619048
2020-03-20,848.7824222222225
2020-03-21,476.3387365079365
2020-03-22,1848.7572952380954
2020-03-23,1663.5047499999996
2020-03-24,1265.3627166666665
2020-03-25,1754.0060555555551
2020-03-26,516.0092285714285
2020-03-27,1075.3331238095236
2020-03-28,1728.1970849206355
2020-03-29,1327.106457142857
2020-03-30,484.83912958152956
2020-03-31,1341.0486666666666
2020-04-01,6.503776190476189
2020-04-02,581.1496428571428
2020-04-03,1225.2956333333334
2020-04-04,465.3585111111112
2020-04-05,1567.2300904761903
2020-04-06,1935.9416000000003
2020-04-07,200.99503095238094
2020-04-08,252.06663809523795
2020-04-09,1440.7764666666662
2020-04-10,1277.3386761904762
2020-04-11,57.152376190476204
2020-04-12,410.2593523809527
2020-04-13,424.9129666666668
2020-04-14,747.1995857142857
2020-04-15,1928.8169333333333
2020-04-16,103.15016190476186
2020-04-17,453.6409333333333
2020-04-18,1800.3562833333333
2020-04-19,1840.4095000000002
2020-04-20,9.714609523809527
2020-04-21,58.86640000000003
2020-04-22,1430.0343095238095
2020-04-23,1976.1946785714285
2020-04-24,1113.6731047619048
2020-04-25,585.0852333333332
2020-04-26,1078.2980571428568
2020-04-27,522.256296825397
2020-04-28,2015.7945285714284
2020-04-29,514.4620261904761
2020-04-30,2213.5685999999996
2020-05-01,78.10570238095238
2020-05-02,1156.702280952381
2020-05-03,263.78294603174606
2020-05-04,1960.7677333333334
2020-05-05,553.803019047619
2020-05-06,1396.26859047619
2020-05-07,758.1573333333333
2020-05-08,1293.3139690476194
2020-05-09,2045.85274047619
2020-05-10,353.6938214285713
2020-05-11,270.0850595238096
2020-05-12,585.2019
2020-05-13,446.47686666666675
2020-05-14,1901.9501507936507
2020-05-15,1532.9707952380952
2020-05-16,2113.412042857143
2020-05-17,1203.3506428571427
2020-05-18,313.52663492063493
2020-05-19,833.9346666666667
2020-05-20,873.9852690476191
2020-05-21,1506.0524666666659
2020-05-22,173.46223333333333
2020-05-23,1269.143842857143
2020-05-24,2097.8130666666666
2020-05-25,1259.4186079365086
2020-05-26,2181.1173666666673
2020-05-27,1318.0604571428578
2020-05-28,717.8126904761906
2020-05-29,974.2333333333331
2020-05-30,1592.585784126984
2020-05-31,1732.9265999999998
2020-06-01,37.8227357142857
2020-06-02,1084.7279333333333
2020-06-03,1675.0637666666664
2020-06-04,1127.0461952380952
2020-06-05,196.82754761904764
2020-06-06,2096.452166666667
2020-06-07,2141.3443333333335
2020-06-08,1134.767823809524
2020-06-09,2018.3494666666666
2020-06-10,1897.9677333333332
2020-06-11,34.34572142857143
2020-06-12,877.0831499999998
2020-06-13,2214.8661761904764
2020-06-14,21.256776190476195
2020-06-15,1648.7070206349204
2020-06-16,1199.2806761904765
2020-06-17,2033.7358095238094
2020-06-18,2026.0361460317456
2020-06-19,1420.0311634920638
2020-06-20,968.3636476190477
2020-06-21,1003.882322222222
2020-06-22,214.40570099345084
2020-06-23,2086.754518253969
2020-06-24,2157.130728571428
2020-06-25,901.3589428571428
2020-06-26,89.29310000000001
2020-06-27,178.9541265512267
2020-06-28,246.63591031746017
2020-06-29,906.4741071428568
2020-06-30,1228.7988666666665
2020-07-01,650.9224404761904
2020-07-02,1409.9338333333337
2020-07-03,365.4072380952381
2020-07-04,484.63311053391044
2020-07-05,103.95378095238094
2020-07-06,51.017992063492066
2020-07-07,292.7393523809523
2020-07-08,24.474757142857147
2020-07-09,845.9651222222225
2020-07-10,2175.557328571429
2020-07-11,183.6145373015873
2020-07-12,1578.4560976190476
2020-07-13,331.59599761904764
2020-07-14,1326.3725238095235
2020-07-15,1109.022123809524
2020-07-16,436.30715
2020-07-17,1168.3345857142858
2020-07-18,2144.216395238095
2020-07-19,1896.5024833333337
2020-07-20,1757.457022222222
2020-07-21,1645.3626999999994
2020-07-22,1670.9260809523807
2020-07-23,1798.0264619047623
2020-07-24,999.4072198412699
2020-07-25,1232.727922222222
2020-07-26,1854.0202523809523
2020-07-27,2124.6610380952375
2020-07-28,1171.3958063492064
2020-07-29,2182.6513333333332
2020-07-30,507.9240833333333
2020-07-31,2077.6470825396823
2020-08-01,1339.6152999999997
2020-08-02,252.47526666666656
2020-08-03,1541.7631444444444
2020-08-04,686.9496801587301
2020-08-05,345.3896785714285
2020-08-06,1382.021
2020-08-07,671.9224857142857
2020-08-08,22.38710476190476
2020-08-09,18.64956666666667
2020-08-10,1180.0522714285717
2020-08-11,2102.014866666667
2020-08-12,311.3523666666666
2020-08-13,1803.6485571428573
2020-08-14,1696.027385714286
2020-08-15,2006.594380952381
2020-08-16,1091.0956
2020-08-17,1313.1724333333334
2020-08-18,560.4986238095239
2020-08-19,1221.8208523809526
2020-08-20,1971.0067142857138
2020-08-21,348.41297142857144
2020-08-22,1634.587633333334
2020-08-23,505.37198333333316
2020-08-24,1614.5867833333334
2020-08-25,1467.9222285714275
2020-08-26,758.195
2020-08-27,2126.9544555555553
2020-08-28,103.44892857142855
2020-08-29,1991.8427333333336
2020-08-30,1796.078171428571
2020-08-31,713.1309857142859
2020-09-01,514.6752833333333
2020-09-02,1726.4359873015883
2020-09-03,1340.226166666667
2020-09-04,1628.0895857142864
2020-09-05,1544.6097396825396
2020-09-06,156.86074761904763
2020-09-07,2210.8397999999997
2020-09-08,210.05738015873027
2020-09-09,534.5777666666668
2020-09-10,883.3162333333333
2020-09-11,622.715
2020-09-12,1791.2288333333338
2020-09-13,536.7799833333332
2020-09-14,202.74319285714284
2020-09-15,1448.976942857143
2020-09-16,424.7244666666668
2020-09-17,14.329930952380947
2020-09-18,865.2337666666666
2020-09-19,1347.2027571428569
2020-09-20,2133.927241269841
2020-09-21,1701.21549047619
2020-09-22,1533.061495238095
2020-09-23,1411.4223904761905
2020-09-24,1254.1255333333334
2020-09-25,1251.8773666666666
2020-09-26,1763.5215666666668
2020-09-27,275.8868666666668
2020-09-28,974.3272333333333
2020-09-29,1986.859295238095
2020-09-30,1210.6059666666665
2020-10-01,309.3630333333333
2020-10-02,1522.7589095238102
2020-10-03,1666.6836000000005
2020-10-04,949.873676190476
2020-10-05,12.837097619047622
2020-10-06,523.1825492063493
2020-10-07,178.61565512265517
2020-10-08,218.71115086580082
2020-10-09,631.2951666666667
2020-10-10,2091.5109619047616
2020-10-11,1966.2678761904767
2020-10-12,721.5773333333334
2020-10-13,468.35535418470425
2020-10-14,196.63274761904765
2020-10-15,1164.2175539682537
2020-10-16,613.6967896825394
2020-10-17,882.8278000000001
2020-10-18,328.3761825396826
2020-10-19,2168.022385714285
2020-10-20,2145.3217238095235
2020-10-21,264.9595325396825
2020-10-22,1536.5345
2020-10-23,1885.3521142857148
2020-10-24,458.38326746031765
2020-10-25,1011.0951333333334
2020-10-26,813.7917047619047
2020-10-27,1517.8108746031749
2020-10-28,1655.701082539683
2020-10-29,1980.747733333333
2020-10-30,836.534595238095
2020-10-31,730.3440714285715
2020-11-01,545.8916999999999
2020-11-02,472.87068419913425
2020-11-03,972.1457333333334
2020-11-04,1251.9278666666667
2020-11-05,817.9632666666666
2020-11-06,823.0288047619047
2020-11-07,1496.30974047619
2020-11-08,1422.9214785714285
2020-11-09,1268.199942857143
2020-11-10,1536.9496499999993
2020-11-11,2186.4682000000003
2020-11-12,360.0056976190476
2020-11-13,1472.4475095238095
2020-11-14,514.6516928571427
2020-11-15,948.3797095238095
2020-11-16,509.0517642857141
2020-11-17,1625.8015476190478
2020-11-18,1575.7017158730155
2020-11-19,109.03410000000001
2020-11-20,1786.9063809523811
2020-11-21,41.35829761904761
2020-11-22,679.2500761904761
2020-11-23,226.6755044733045
2020-11-24,1084.6996000000001
2020-11-25,1482.5472999999997
2020-11-26,1774.4362682539684
2020-11-27,1816.4076809523797
2020-11-28,2207.532082539682
2020-11-29,369.4113333333334
2020-11-30,704.0102142857144
2020-12-01,1332.551709523809
